iter	RMSE
0	10.46765761
1	10.28992953
2	10.07273707
3	9.920748119
4	9.754086637
5	9.625075293
6	9.487948517
7	9.326877964
8	9.213889498
9	9.095740574
10	8.998040495
11	8.890955367
12	8.779125159
13	8.687292174
14	8.581656605
15	8.495103465
16	8.394004531
17	8.311355144
18	8.223973831
19	8.15193603
20	8.093649068
21	7.998649156
22	7.915252976
23	7.823393933
24	7.756409856
25	7.651620732
26	7.560623952
27	7.487239496
28	7.434914623
29	7.377773863
30	7.328011228
31	7.264923546
32	7.183692525
33	7.130331005
34	7.070838591
35	7.03040967
36	6.952679531
37	6.87146923
38	6.838277514
39	6.780601169
40	6.732260931
41	6.688180699
42	6.632760227
43	6.577116913
44	6.527384893
45	6.483776387
46	6.458519907
47	6.422730463
48	6.390326438
49	6.314452891
50	6.260048922
51	6.22807532
52	6.203424172
53	6.18597675
54	6.175344224
55	6.128737523
56	6.107366165
57	6.065088069
58	6.030957865
59	5.990446316
60	5.971419141
61	5.94175397
62	5.896657035
63	5.8755722
64	5.830076795
65	5.808830953
66	5.790570499
67	5.741527841
68	5.716231346
69	5.655790061
70	5.632923856
71	5.601774794
72	5.57699674
73	5.563330525
74	5.531707047
75	5.486402258
76	5.475805794
77	5.441870426
78	5.417994301
79	5.389769999
80	5.360969065
81	5.332557623
82	5.311122695
83	5.297825157
84	5.275385955
85	5.252536136
86	5.240501404
87	5.210141624
88	5.19825662
89	5.184508532
90	5.155375299
91	5.141975766
92	5.121703105
93	5.109124419
94	5.099206968
95	5.086939165
96	5.075971727
97	5.060759544
98	5.03899347
99	5.003710853
100	4.992296029
101	4.956118177
102	4.945369386
103	4.919288371
104	4.884103634
105	4.858367707
106	4.848644801
107	4.823793777
108	4.815757603
109	4.799300118
110	4.767808707
111	4.746268091
112	4.725619448
113	4.702557531
114	4.691183795
115	4.682500008
116	4.675055226
117	4.649580095
118	4.629745305
119	4.606781187
120	4.578545869
121	4.565985673
122	4.537021603
123	4.507985617
124	4.49254276
125	4.484891785
126	4.476723233
127	4.45105755
128	4.439594604
129	4.426322653
130	4.418378537
131	4.41362153
132	4.401648574
133	4.380785475
134	4.377152157
135	4.356738173
136	4.348671543
137	4.311291983
138	4.29936251
139	4.277835737
140	4.24237549
141	4.228369073
142	4.200752236
143	4.181073412
144	4.175345986
145	4.154560638
146	4.145475791
147	4.129788941
148	4.117350645
149	4.098616863
150	4.084980958
151	4.074646579
152	4.068116191
153	4.059014067
154	4.05034391
155	4.019146766
156	4.007539082
157	3.99791492
158	3.991874556
159	3.975511711
160	3.967010324
161	3.957797831
162	3.945233482
163	3.922648256
164	3.907312081
165	3.895715403
166	3.887222588
167	3.877921308
168	3.867640816
169	3.852508593
170	3.846648316
171	3.814622099
172	3.787976158
173	3.781962549
174	3.776754788
175	3.75322696
176	3.747791048
177	3.740243449
178	3.731702827
179	3.719419607
180	3.71484865
181	3.704755194
182	3.700268859
183	3.697125435
184	3.691215175
185	3.683941062
186	3.673867413
187	3.665381083
188	3.655030388
189	3.644755151
190	3.616772017
191	3.602553642
192	3.595863576
193	3.589918841
194	3.562505226
195	3.547431565
196	3.540884563
197	3.53195254
198	3.511084313
199	3.50061745
200	3.491111361
201	3.480356366
202	3.473293039
203	3.453795784
204	3.438418044
205	3.42744537
206	3.408710442
207	3.40329955
208	3.382755401
209	3.375352309
210	3.369699018
211	3.362316641
212	3.358033858
213	3.352685751
214	3.332254578
215	3.317929475
216	3.30703234
217	3.285395765
218	3.281570395
219	3.261753069
220	3.259127469
221	3.249353492
222	3.242342848
223	3.223969869
224	3.218103475
225	3.203162627
226	3.199109816
227	3.191468702
228	3.189522926
229	3.184883915
230	3.170838989
231	3.154584507
232	3.140496718
233	3.138371896
234	3.133765524
235	3.126569554
236	3.113742509
237	3.107214855
238	3.096125912
239	3.092198023
240	3.0767319
241	3.071368434
242	3.060886604
243	3.0495116
244	3.044809934
245	3.033871479
246	3.027898707
247	3.020390169
248	3.016090788
249	3.007112599
250	2.9932184
251	2.97981691
252	2.974780999
253	2.963940073
254	2.958058325
255	2.954467408
256	2.951278521
257	2.949112856
258	2.934065591
259	2.922591248
260	2.918989919
261	2.905685906
262	2.895190746
263	2.89270046
264	2.884947427
265	2.880131495
266	2.871204046
267	2.868017364
268	2.864426152
269	2.86007849
270	2.849155303
271	2.845231469
272	2.834177225
273	2.832435992
274	2.828775861
275	2.822877784
276	2.812780423
277	2.803589758
278	2.794791732
279	2.78935198
280	2.779548778
281	2.774171205
282	2.764219603
283	2.759593163
284	2.753985596
285	2.744881172
286	2.741582052
287	2.736066914
288	2.730939389
289	2.72362693
290	2.717200379
291	2.712300753
292	2.707466622
293	2.70122283
294	2.697461493
295	2.69271099
296	2.687082529
297	2.683927822
298	2.6783537
299	2.674041876
300	2.663218784
301	2.65585044
302	2.651315888
